,pge_ecr,sce_ecr,sdge_ecr
937,0.0559,0.0495,0.0513
938,0.0559,0.0482,0.0501
939,0.055,0.0468,0.0486
940,0.0547,0.0465,0.0483
941,0.0555,0.0468,0.0486
942,0.0566,0.0489,0.0508
943,0.0573,0.056,0.0579
944,0.0609,0.0568,0.0585
945,0.0495,0.0551,0.0556
946,0.0339,0.0505,0.0513
947,0.0283,0.0491,0.05
948,0.0296,0.048,0.0488
949,0.0287,0.0447,0.0456
950,0.0301,0.0454,0.0466
951,0.0321,0.0482,0.0493
952,0.0426,0.0542,0.0554
953,0.0628,0.0583,0.0595
954,0.0615,0.0618,0.0615
955,0.0631,0.0687,0.063
956,0.0631,0.0673,0.0615
957,0.062,0.0646,0.0604
958,0.0605,0.0595,0.0577
959,0.0586,0.0545,0.0551
960,0.0577,0.0519,0.0535
961,0.0559,0.0495,0.0513
962,0.0559,0.0482,0.0501
963,0.055,0.0468,0.0486
964,0.0547,0.0465,0.0483
965,0.0555,0.0468,0.0486
966,0.0566,0.0489,0.0508
967,0.0573,0.056,0.0579
968,0.0609,0.0568,0.0585
969,0.0495,0.0551,0.0556
970,0.0339,0.0505,0.0513
971,0.0283,0.0491,0.05
972,0.0296,0.048,0.0488
973,0.0287,0.0447,0.0456
974,0.0301,0.0454,0.0466
975,0.0321,0.0482,0.0493
976,0.0426,0.0542,0.0554
977,0.0628,0.0583,0.0595
978,0.0615,0.0618,0.0615
979,0.0631,0.0687,0.063
980,0.0631,0.0673,0.0615
981,0.062,0.0646,0.0604
982,0.0605,0.0595,0.0577
983,0.0586,0.0545,0.0551
984,0.0577,0.0519,0.0535
985,0.0559,0.0495,0.0513
986,0.0559,0.0482,0.0501
987,0.055,0.0468,0.0486
988,0.0547,0.0465,0.0483
989,0.0555,0.0468,0.0486
990,0.0566,0.0489,0.0508
991,0.0573,0.056,0.0579
992,0.0609,0.0568,0.0585
993,0.0495,0.0551,0.0556
994,0.0339,0.0505,0.0513
995,0.0283,0.0491,0.05
996,0.0296,0.048,0.0488
997,0.0287,0.0447,0.0456
998,0.0301,0.0454,0.0466
999,0.0321,0.0482,0.0493
1000,0.0426,0.0542,0.0554
1001,0.0628,0.0583,0.0595
1002,0.0615,0.0618,0.0615
1003,0.0631,0.0687,0.063
1004,0.0631,0.0673,0.0615
1005,0.062,0.0646,0.0604
1006,0.0605,0.0595,0.0577
1007,0.0586,0.0545,0.0551
1008,0.0577,0.0519,0.0535
1009,0.0559,0.0495,0.0513
1010,0.0559,0.0482,0.0501
1011,0.055,0.0468,0.0486
1012,0.0547,0.0465,0.0483
1013,0.0555,0.0468,0.0486
1014,0.0566,0.0489,0.0508
1015,0.0573,0.056,0.0579
1016,0.0609,0.0568,0.0585
1017,0.0495,0.0551,0.0556
1018,0.0339,0.0505,0.0513
1019,0.0283,0.0491,0.05
1020,0.0296,0.048,0.0488
1021,0.0287,0.0447,0.0456
1022,0.0301,0.0454,0.0466
1023,0.0321,0.0482,0.0493
1024,0.0426,0.0542,0.0554
1025,0.0628,0.0583,0.0595
1026,0.0615,0.0618,0.0615
1027,0.0631,0.0687,0.063
1028,0.0631,0.0673,0.0615
1029,0.062,0.0646,0.0604
1030,0.0605,0.0595,0.0577
1031,0.0586,0.0545,0.0551
1032,0.0577,0.0519,0.0535
1033,0.0559,0.0495,0.0513
1034,0.0559,0.0482,0.0501
1035,0.055,0.0468,0.0486
1036,0.0547,0.0465,0.0483
1037,0.0555,0.0468,0.0486
1038,0.0566,0.0489,0.0508
1039,0.0573,0.056,0.0579
1040,0.0609,0.0568,0.0585
1041,0.0495,0.0551,0.0556
1042,0.0339,0.0505,0.0513
1043,0.0283,0.0491,0.05
1044,0.0296,0.048,0.0488
1045,0.0287,0.0447,0.0456
1046,0.0301,0.0454,0.0466
1047,0.0321,0.0482,0.0493
1048,0.0426,0.0542,0.0554
1049,0.0628,0.0583,0.0595
1050,0.0615,0.0618,0.0615
1051,0.0631,0.0687,0.063
1052,0.0631,0.0673,0.0615
1053,0.062,0.0646,0.0604
1054,0.0605,0.0595,0.0577
1055,0.0586,0.0545,0.0551
1056,0.0577,0.0519,0.0535
1057,0.0559,0.0495,0.0513
1058,0.0559,0.0482,0.0501
1059,0.055,0.0468,0.0486
1060,0.0547,0.0465,0.0483
1061,0.0555,0.0468,0.0486
1062,0.0566,0.0489,0.0508
1063,0.0573,0.056,0.0579
1064,0.0609,0.0568,0.0585
1065,0.0495,0.0551,0.0556
1066,0.0339,0.0505,0.0513
1067,0.0283,0.0491,0.05
1068,0.0296,0.048,0.0488
1069,0.0287,0.0447,0.0456
1070,0.0301,0.0454,0.0466
1071,0.0321,0.0482,0.0493
1072,0.0426,0.0542,0.0554
1073,0.0628,0.0583,0.0595
1074,0.0615,0.0618,0.0615
1075,0.0631,0.0687,0.063
1076,0.0631,0.0673,0.0615
1077,0.062,0.0646,0.0604
1078,0.0605,0.0595,0.0577
1079,0.0586,0.0545,0.0551
1080,0.0577,0.0519,0.0535
1081,0.0559,0.0495,0.0513
1082,0.0559,0.0482,0.0501
1083,0.055,0.0468,0.0486
1084,0.0547,0.0465,0.0483
1085,0.0555,0.0468,0.0486
1086,0.0566,0.0489,0.0508
1087,0.0573,0.056,0.0579
1088,0.0609,0.0568,0.0585
1089,0.0495,0.0551,0.0556
1090,0.0339,0.0505,0.0513
1091,0.0283,0.0491,0.05
1092,0.0296,0.048,0.0488
1093,0.0287,0.0447,0.0456
1094,0.0301,0.0454,0.0466
1095,0.0321,0.0482,0.0493
1096,0.0426,0.0542,0.0554
1097,0.0628,0.0583,0.0595
1098,0.0615,0.0618,0.0615
1099,0.0631,0.0687,0.063
1100,0.0631,0.0673,0.0615
1101,0.062,0.0646,0.0604
1102,0.0605,0.0595,0.0577
1103,0.0586,0.0545,0.0551
1104,0.0577,0.0519,0.0535
1105,0.0559,0.0495,0.0513
1106,0.0559,0.0482,0.0501
1107,0.055,0.0468,0.0486
1108,0.0547,0.0465,0.0483
1109,0.0555,0.0468,0.0486
1110,0.0566,0.0489,0.0508
1111,0.0573,0.056,0.0579
1112,0.0609,0.0568,0.0585
1113,0.0495,0.0551,0.0556
1114,0.0339,0.0505,0.0513
1115,0.0283,0.0491,0.05
1116,0.0296,0.048,0.0488
1117,0.0287,0.0447,0.0456
1118,0.0301,0.0454,0.0466
1119,0.0321,0.0482,0.0493
1120,0.0426,0.0542,0.0554
1121,0.0628,0.0583,0.0595
1122,0.0615,0.0618,0.0615
1123,0.0631,0.0687,0.063
1124,0.0631,0.0673,0.0615
1125,0.062,0.0646,0.0604
1126,0.0605,0.0595,0.0577
1127,0.0586,0.0545,0.0551
1128,0.0577,0.0519,0.0535
1129,0.0559,0.0495,0.0513
1130,0.0559,0.0482,0.0501
1131,0.055,0.0468,0.0486
1132,0.0547,0.0465,0.0483
1133,0.0555,0.0468,0.0486
1134,0.0566,0.0489,0.0508
1135,0.0573,0.056,0.0579
1136,0.0609,0.0568,0.0585
1137,0.0495,0.0551,0.0556
1138,0.0339,0.0505,0.0513
1139,0.0283,0.0491,0.05
1140,0.0296,0.048,0.0488
1141,0.0287,0.0447,0.0456
1142,0.0301,0.0454,0.0466
1143,0.0321,0.0482,0.0493
1144,0.0426,0.0542,0.0554
1145,0.0628,0.0583,0.0595
1146,0.0615,0.0618,0.0615
1147,0.0631,0.0687,0.063
1148,0.0631,0.0673,0.0615
1149,0.062,0.0646,0.0604
1150,0.0605,0.0595,0.0577
1151,0.0586,0.0545,0.0551
1152,0.0577,0.0519,0.0535
1153,0.0559,0.0495,0.0513
1154,0.0559,0.0482,0.0501
1155,0.055,0.0468,0.0486
1156,0.0547,0.0465,0.0483
1157,0.0555,0.0468,0.0486
1158,0.0566,0.0489,0.0508
1159,0.0573,0.056,0.0579
1160,0.0609,0.0568,0.0585
1161,0.0495,0.0551,0.0556
